N	d2_N	lambda_min	lambda_max	condition	coeff_energy	coeff_mass	projection
3	8.309197058359707e-2	6.798243121261265e-2	6.214576722587664e-1	9.141445e0	1.5064381026e0	1.7290265650e0	9.169080294164029e-1
4	6.905572933264481e-2	4.191314408630969e-2	8.320954462363079e-1	1.985285e1	1.1481640177e0	1.8309274716e0	9.309442706673552e-1
5	5.496507353019797e-2	3.071306642900724e-2	9.958058283390655e-1	3.242287e1	1.0261762630e0	1.9356057104e0	9.450349264698020e-1
6	5.490742924904046e-2	2.320015030684450e-2	1.144656495719943e0	4.933832e1	1.0645105697e0	2.0126538023e0	9.450925707509595e-1
7	4.950733020567999e-2	1.760074046843587e-2	1.266210341598876e0	7.194074e1	1.2240600106e0	2.5271624854e0	9.504926697943200e-1
8	4.947453130599810e-2	1.423675555967904e-2	1.377036637319030e0	9.672405e1	1.2126526127e0	2.5437798150e0	9.505254686940019e-1
9	4.943070677583772e-2	1.041210259053807e-2	1.474455778883222e0	1.416098e2	1.2029044286e0	2.5570333745e0	9.505692932241623e-1
10	4.928902371956534e-2	9.180132388077652e-3	1.562704844612441e0	1.702268e2	1.2421992265e0	2.7369060652e0	9.507109762804347e-1
11	4.785903813919745e-2	7.426371128596395e-3	1.641302422446138e0	2.210100e2	1.4482591487e0	3.2361806090e0	9.521409618608025e-1
12	4.785151471324434e-2	7.003049703638539e-3	1.715591561103303e0	2.449778e2	1.4440325244e0	3.2609492171e0	9.521484852867557e-1
13	4.757638067439263e-2	5.202989398718957e-3	1.781907797663894e0	3.424777e2	1.4405215059e0	3.4516091643e0	9.524236193256074e-1
14	4.690543447355322e-2	5.202876005275723e-3	1.843994513236426e0	3.544183e2	1.6579988312e0	3.9252896365e0	9.530945655264468e-1
15	4.679715094490389e-2	4.105480924381212e-3	1.901964065052394e0	4.632744e2	1.6408694217e0	3.9747912252e0	9.532028490550961e-1
16	4.662439754923986e-2	3.977673303145398e-3	1.956124697132379e0	4.917761e2	1.7221814798e0	4.2498895045e0	9.533756024507601e-1
17	4.627317772039941e-2	3.342540311741395e-3	2.006279141815728e0	6.002259e2	1.7617419458e0	4.3079611101e0	9.537268222796006e-1
18	4.627247865083073e-2	3.314268274592683e-3	2.054162347641735e0	6.197936e2	1.7620891002e0	4.3139542391e0	9.537275213491693e-1
19	4.618137497063302e-2	2.597946778532532e-3	2.098750133733081e0	8.078495e2	1.7787744563e0	4.4984684644e0	9.538186250293670e-1
20	4.598434545174368e-2	2.595645325043776e-3	2.141494227629318e0	8.250335e2	1.8251737361e0	4.6865150195e0	9.540156545482563e-1
21	4.577388337849120e-2	2.195048792110035e-3	2.181826896262341e0	9.939765e2	1.8937116178e0	4.8245717843e0	9.542261166215088e-1
22	4.575898585822180e-2	2.169418245338678e-3	2.220053916218214e0	1.023341e3	1.8978546653e0	4.8619994005e0	9.542410141417782e-1
23	4.553340783135462e-2	1.894967693087091e-3	2.256357433225128e0	1.190710e3	2.0172244074e0	5.3248125078e0	9.544665921686454e-1
24	4.553216733452825e-2	1.894900934307890e-3	2.291504863447452e0	1.209301e3	2.0170681105e0	5.3368207719e0	9.544678326654717e-1
25	4.551402990906661e-2	1.540923613021037e-3	2.324782832598949e0	1.508694e3	2.0337961648e0	5.4497447345e0	9.544859700909334e-1
26	4.546101811589776e-2	1.533922533814491e-3	2.356644501352072e0	1.536352e3	2.0699565475e0	5.6202255146e0	9.545389818841022e-1
27	4.542316564477866e-2	1.406945578377618e-3	2.387262189708890e0	1.696769e3	2.1281600485e0	5.8145877057e0	9.545768343552213e-1
28	4.539397319893634e-2	1.399467005660013e-3	2.416764803795795e0	1.726918e3	2.1710796166e0	5.9215917607e0	9.546060268010637e-1
29	4.516496041169349e-2	1.238811714207041e-3	2.444976123633289e0	1.973646e3	2.2711076349e0	6.2014354574e0	9.548350395883065e-1
30	4.509496142204383e-2	1.237323578669231e-3	2.472400292444076e0	1.998184e3	2.3248737285e0	6.4051376564e0	9.549050385779562e-1
35	4.447412199016487e-2	8.740417930859627e-4	2.595275324998662e0	2.969281e3	2.7450777592e0	7.5001482770e0	9.555258780098351e-1
40	4.423357087213831e-2	6.994275922942088e-4	2.700388348705970e0	3.860855e3	3.1124264804e0	8.9458161382e0	9.557664291278617e-1
45	4.393033934030188e-2	5.335124609835847e-4	2.791845088185943e0	5.232952e3	3.3869119064e0	9.7550502397e0	9.560696606596981e-1
50	4.385906729926603e-2	4.347096872806790e-4	2.872648237994565e0	6.608199e3	3.5409340170e0	1.0252370765e1	9.561409327007340e-1
55	4.373987351208908e-2	3.544837776760151e-4	2.944887712378260e0	8.307539e3	3.7342526686e0	1.0959195343e1	9.562601264879109e-1
60	4.366725726234988e-2	3.311364195981637e-4	3.010151324714090e0	9.090366e3	3.8308242717e0	1.1675385887e1	9.563327427376501e-1
65	4.362970465860405e-2	2.752750187548497e-4	3.069544900334201e0	1.115083e4	3.9800871385e0	1.2304708328e1	9.563702953413959e-1
70	4.353140468239158e-2	2.399036879555434e-4	3.124004916940479e0	1.302191e4	4.2660880026e0	1.3294428760e1	9.564685953176084e-1
75	4.349759240600870e-2	2.043582058680984e-4	3.174242416272268e0	1.553274e4	4.4130086603e0	1.3981575934e1	9.565024075939913e-1
80	4.346142598667802e-2	1.783879505837137e-4	3.220838297427061e0	1.805525e4	4.6043544545e0	1.4732257366e1	9.565385740133220e-1
85	4.335107128876914e-2	1.564779034039574e-4	3.264232462430440e0	2.086066e4	4.9135216791e0	1.5556422977e1	9.566489287112309e-1
90	4.332173559813390e-2	1.512772359280033e-4	3.304824586228784e0	2.184615e4	4.9216288884e0	1.6030994874e1	9.566782644018661e-1
95	4.328179673042465e-2	1.310696129473619e-4	3.342912268619225e0	2.550486e4	5.0421790133e0	1.6804697869e1	9.567182032695754e-1
100	4.309482194348313e-2	1.200555567109705e-4	3.378812384532795e0	2.814374e4	5.4404885800e0	1.8139604244e1	9.569051780565169e-1
125	4.286172931176990e-2	7.669735417519739e-5	3.531925511563561e0	4.605016e4	6.2956406960e0	2.1644311539e1	9.571382706882301e-1
150	4.272062782545860e-2	5.605237257403880e-5	3.653421047892676e0	6.517870e4	7.2671524571e0	2.5581475993e1	9.572793721745414e-1
175	4.262408671933282e-2	3.919487910214997e-5	3.753608177357662e0	9.576782e4	8.0245281496e0	2.9042291386e1	9.573759132806672e-1
200	4.251653745215966e-2	2.955139942674713e-5	3.838531248148849e0	1.298934e5	9.4205724764e0	3.3604137343e1	9.574834625478403e-1
225	4.229532391128044e-2	2.179656351392713e-5	3.912009399544347e0	1.794783e5	1.0506713628e1	3.8322850509e1	9.577046760887196e-1
250	4.221245360080095e-2	1.833017197514587e-5	3.976611555373081e0	2.169435e5	1.1138116243e1	4.1308936923e1	9.577875463991991e-1
275	4.219111713773294e-2	1.551901071677222e-5	4.034148505951467e0	2.599488e5	1.1658250490e1	4.4257527581e1	9.578088828622671e-1
300	4.209749604981106e-2	1.403009070334000e-5	4.085928314101585e0	2.912261e5	1.2596908657e1	4.7951441368e1	9.579025039501889e-1
325	4.207168366882730e-2	1.246893895779578e-5	4.132938312825208e0	3.314587e5	1.3271330446e1	5.1178046588e1	9.579283163311727e-1
350	4.203343416253047e-2	1.127059734208430e-5	4.175933112338750e0	3.705157e5	1.3925111151e1	5.4525183432e1	9.579665658374695e-1
375	4.201015260113661e-2	1.016757914953710e-5	4.215508426233210e0	4.146030e5	1.4609188572e1	5.7634209171e1	9.579898473988634e-1
400	4.196785997999652e-2	9.407157533412071e-6	4.252137213558688e0	4.520108e5	1.5765834197e1	6.1827814504e1	9.580321400200035e-1
425	4.193528749533493e-2	8.763118066742087e-6	4.286201098149908e0	4.891183e5	1.6402215860e1	6.4883869216e1	9.580647125046651e-1
450	4.186828915339147e-2	8.279398311484183e-6	4.318015359998172e0	5.215373e5	1.7424496002e1	6.9030752666e1	9.581317108466085e-1
475	4.185667246267832e-2	7.844633415238524e-6	4.347841093169290e0	5.542440e5	1.7698704986e1	7.1072186225e1	9.581433275373217e-1
500	4.184664461066889e-2	7.365996501627521e-6	4.375898430530589e0	5.940674e5	1.7989522599e1	7.3092819504e1	9.581533553893311e-1
550	4.181642224453841e-2	6.652910730221740e-6	4.427419564917281e0	6.654861e5	1.9137184610e1	7.8627465930e1	9.581835777554616e-1
600	4.170181425242603e-2	5.978712899463612e-6	4.473767311085879e0	7.482827e5	2.0786168149e1	8.4235493972e1	9.582981857475740e-1
650	4.166139400509694e-2	5.936236844083290e-6	4.515828617040052e0	7.607224e5	2.2043015694e1	9.1291998810e1	9.583386059949031e-1
700	4.154206703262231e-2	5.315593132618503e-6	4.554286347932186e0	8.567786e5	2.3552914158e1	9.7430928349e1	9.584579329673777e-1
