N	t	zeta_norm	dn_norm	product_norm	cancel_residual	cancel_ratio
10	2	5.654264803804672e-1	1.382990339694435e0	7.819793601736111e-1	2.359983023494552e-1	3.017960759182443e-1
10	4	5.859361161985774e-1	1.478994724391633e0	8.665964246882187e-1	1.432948959728422e-1	1.653536662401953e-1
10	6	8.868162950208472e-1	1.091583447479002e0	9.680339885994124e-1	1.230257544513053e-1	1.270882591935677e-1
10	8	1.310023061869230e0	8.124718680104929e-1	1.064356884213719e0	9.137507398564265e-2	8.585003333082676e-2
10	10	1.580624707488814e0	7.414071008192082e-1	1.171886381862491e0	1.719004065854709e-1	1.466869222528791e-1
10	12	1.286458344806362e0	9.757266107943652e-1	1.255231640706040e0	2.556789791675984e-1	2.036906741960270e-1
10	14	1.231549337821083e-1	1.997599603887850e0	2.460142469399740e-1	1.040768504717074e0	4.230521271278304e0
10	16	1.534102105434501e0	9.196195975886331e-1	1.410790360859551e0	4.261658490966102e-1	3.020759575058059e-1
10	18	2.342272070187408e0	5.427541650884259e-1	1.271277921864506e0	2.743484925353359e-1	2.158052836573813e-1
10	20	1.157898320121508e0	1.251187154208238e0	1.448747504015329e0	7.933901998877174e-1	5.476387001107978e-1
10	22	9.734140545178969e-1	1.351516882903932e0	1.315585528736906e0	6.631369640725420e-1	5.040622214119518e-1
10	24	1.105986425235444e0	1.223554123323096e0	1.353234250936198e0	6.725969332778813e-1	4.970291971346156e-1
10	26	1.432060628027021e0	1.071831678668038e0	1.534927946892607e0	9.546400077531689e-1	6.219445086564453e-1
10	28	2.808043181375932e0	4.249405413512236e-1	1.193251389631501e0	2.442201298763538e-1	2.046677942288202e-1
10	30	5.870395110583916e-1	1.364607190434181e0	8.010783378592470e-1	1.002857022240917e0	1.251883835631969e0
10	32	8.865527662531951e-1	1.720712590483801e0	1.525502507020114e0	7.124056370033246e-1	4.669973557729009e-1
10	34	1.651253224315769e0	1.013060985694418e0	1.672820219056420e0	9.849940712645594e-1	5.888224329451018e-1
10	36	2.627576601723659e0	6.042820391805664e-1	1.587797346992716e0	5.900220806576031e-1	3.715978501759708e-1
10	38	7.802544191052251e-1	1.069490523609970e0	8.344747072378403e-1	9.129581672013525e-1	1.094051334669324e0
10	40	1.324450671394206e0	1.146769620580052e0	1.518839793911728e0	8.673672690369669e-1	5.710722569383617e-1
20	2	5.654264803804672e-1	1.495854907636594e0	8.457959755848079e-1	1.703371558320350e-1	2.013927244265485e-1
20	4	5.859361161985774e-1	1.507110939259566e0	8.830707304301401e-1	1.217996931852900e-1	1.379274490571801e-1
20	6	8.868162950208472e-1	1.095297658052615e0	9.713278110592314e-1	1.020060174120963e-1	1.050170871776635e-1
20	8	1.310023061869230e0	7.953967188199954e-1	1.041988044989310e0	8.361172743451240e-2	8.024250166456585e-2
20	10	1.580624707488814e0	6.729275429494148e-1	1.063645900735585e0	6.689920957579314e-2	6.289612880520452e-2
20	12	1.286458344806362e0	8.064335410842894e-1	1.037443158459628e0	5.326091016790561e-2	5.133862972019228e-2
20	14	1.231549337821083e-1	2.426055476122838e0	2.987807015136294e-1	1.052927225170755e0	3.524080437044974e0
20	16	1.534102105434501e0	7.490852700975956e-1	1.149173290006694e0	1.492501029208207e-1	1.298760632697540e-1
20	18	2.342272070187408e0	5.132499413526771e-1	1.202171002655701e0	2.110535740005019e-1	1.755603599939327e-1
20	20	1.157898320121508e0	1.267330939489838e0	1.467440365873296e0	6.614879701857393e-1	4.507767304002694e-1
20	22	9.734140545178969e-1	1.481515551636893e0	1.442128059950187e0	6.087614086258135e-1	4.221271505159127e-1
20	24	1.105986425235444e0	1.313675880915988e0	1.452907691452296e0	6.107121652028757e-1	4.203378981306243e-1
20	26	1.432060628027021e0	1.094423897555718e0	1.567281374061421e0	7.880535470884139e-1	5.028156144332069e-1
20	28	2.808043181375932e0	4.663142797352641e-1	1.309430633588837e0	3.411161369759343e-1	2.605072221664894e-1
20	30	5.870395110583916e-1	1.601986691147141e0	9.404294838930680e-1	1.002561152452465e0	1.066067333727343e0
20	32	8.865527662531951e-1	1.700531055566851e0	1.507610511412258e0	6.535568962925180e-1	4.335051336835646e-1
20	34	1.651253224315769e0	9.975596643549123e-1	1.647223612213406e0	7.819998281768373e-1	4.747381122870436e-1
20	36	2.627576601723659e0	5.233837603739636e-1	1.375230922480769e0	3.756828131470707e-1	2.731779856065040e-1
20	38	7.802544191052251e-1	1.291427097788995e0	1.007641700002099e0	9.293593592606343e-1	9.223113327472434e-1
20	40	1.324450671394206e0	1.218450937890220e0	1.613778162749602e0	7.590597175219552e-1	4.703618719369998e-1
50	2	5.654264803804672e-1	1.580094690793267e0	8.934273796830994e-1	1.238984298097496e-1	1.386776727770495e-1
50	4	5.859361161985774e-1	1.538026001132509e0	9.011849817160111e-1	1.003725837041478e-1	1.113784469788002e-1
50	6	8.868162950208472e-1	1.098650664616247e0	9.743013119171721e-1	8.199294833464059e-2	8.415563782142482e-2
50	8	1.310023061869230e0	7.934993027725528e-1	1.039502386209199e0	7.632293294535396e-2	7.342256637205455e-2
50	10	1.580624707488814e0	7.004219694259409e-1	1.107104270542617e0	1.081322945607691e-1	9.767128303802043e-2
50	12	1.286458344806362e0	8.499186845518172e-1	1.093384984148531e0	1.901499798127880e-1	1.739094487024317e-1
50	14	1.231549337821083e-1	2.989761779525229e0	3.682039139817079e-1	1.065580065630436e0	2.893994401383177e0
50	16	1.534102105434501e0	6.504901392650592e-1	9.979182922109092e-1	1.709836124444443e-1	1.713402928666900e-1
50	18	2.342272070187408e0	4.861589074219742e-1	1.138716430527316e0	1.466472602078896e-1	1.287829491842673e-1
50	20	1.157898320121508e0	1.224906588614962e0	1.418317281263031e0	4.598186393403037e-1	3.242001246229115e-1
50	22	9.734140545178969e-1	1.413912905601666e0	1.376322694176898e0	4.257743329696796e-1	3.093564719749910e-1
50	24	1.105986425235444e0	1.222069898532093e0	1.351592718465350e0	4.067234616859634e-1	3.009216135373773e-1
50	26	1.432060628027021e0	1.023114233225119e0	1.465161611375748e0	5.327205163457598e-1	3.635916421844752e-1
50	28	2.808043181375932e0	4.305732266042612e-1	1.209068213049130e0	2.095283765093122e-1	1.732973989787607e-1
50	30	5.870395110583916e-1	1.841681957869124e0	1.081140076072552e0	9.195916761755002e-1	8.505758842240799e-1
50	32	8.865527662531951e-1	1.546906224994008e0	1.371413992902725e0	4.229469650832485e-1	3.084021070749337e-1
50	34	1.651253224315769e0	8.786441654286178e-1	1.450864011190243e0	4.672651891365620e-1	3.220599487840575e-1
50	36	2.627576601723659e0	3.946012413708699e-1	1.036844988837208e0	5.006910590813281e-2	4.828986632252898e-2
50	38	7.802544191052251e-1	1.403735689944942e0	1.095270975335263e0	8.967783058826796e-1	8.187730032818362e-1
50	40	1.324450671394206e0	1.171595467275686e0	1.551720403235691e0	5.923388428417223e-1	3.817303952481136e-1
100	2	5.654264803804672e-1	1.617958734406022e0	9.148367125960319e-1	1.027677682854849e-1	1.123345476526196e-1
100	4	5.859361161985774e-1	1.554053963790229e0	9.105763439062512e-1	9.020165158000924e-2	9.905995492157876e-2
100	6	8.868162950208472e-1	1.096850358562822e0	9.727047711729696e-1	7.650113505584140e-2	7.864784600942161e-2
100	8	1.310023061869230e0	8.026052157397159e-1	1.051431342195557e0	7.547589403024298e-2	7.178394917602252e-2
100	10	1.580624707488814e0	6.600723363621477e-1	1.043326643583877e0	4.365045841558639e-2	4.183776833844189e-2
100	12	1.286458344806362e0	9.111653394544729e-1	1.172176254439528e0	1.980759253997448e-1	1.689813495620197e-1
100	14	1.231549337821083e-1	3.405300100064534e0	4.193795083316546e-1	1.074599969040496e0	2.562356881277754e0
100	16	1.534102105434501e0	7.273446281238890e-1	1.115820925381332e0	2.743403368094952e-1	2.458641261954639e-1
100	18	2.342272070187408e0	4.610931340513611e-1	1.080005569643682e0	1.089565714225543e-1	1.008851940073804e-1
100	20	1.157898320121508e0	1.148763669629914e0	1.330151523281097e0	3.327547804439525e-1	2.501630638463980e-1
100	22	9.734140545178969e-1	1.347312693605708e0	1.311493111786161e0	3.133746244022637e-1	2.389449258909715e-1
100	24	1.105986425235444e0	1.153561579617765e0	1.275823447730404e0	2.795065251508938e-1	2.190793135587179e-1
