N	d_sq	d_sq*ln(N)	bt_v	vt_Gv	S1	S2	S3	M(N)	f_N(0.5)
2	2.1054638916e0	1.459396	-0.42226535	0.26093320	0.500000	-0.346574	-0.240227	0	0.000000
3	1.5456027422e0	1.698018	-0.21682879	0.11194516	0.166667	-0.712778	-0.642543	-1	0.000000
4	1.1325441176e0	1.570040	-0.03934121	0.05386171	0.166667	-0.712778	-0.642543	-1	0.138346
5	9.4176347257e-1	1.515710	0.05463323	0.05102994	-0.033333	-1.034665	-1.160601	-2	0.211596
6	7.5491658511e-1	1.352629	0.15517546	0.06526750	0.133333	-0.736039	-0.625534	-1	0.298604
7	6.8486739906e-1	1.332690	0.19644706	0.07776153	-0.009524	-1.014026	-1.166472	-2	0.333042
8	5.9930109680e-1	1.246212	0.24897760	0.09725629	-0.009524	-1.014026	-1.166472	-2	0.377094
9	5.3667578155e-1	1.179197	0.29001308	0.11670194	-0.009524	-1.014026	-1.166472	-2	0.411506
10	4.8878539418e-1	1.125470	0.32316324	0.13511188	0.090476	-0.783767	-0.636282	-1	0.439306
11	4.6599584017e-1	1.117409	0.33986505	0.14572595	-0.000433	-1.001758	-1.159000	-2	0.454400
12	4.3446818815e-1	1.079613	0.36304475	0.16055769	-0.000433	-1.001758	-1.159000	-2	0.473535
13	4.0831087487e-1	1.047297	0.38297923	0.17426934	-0.077356	-1.199062	-1.665075	-3	0.489991
14	3.7775728280e-1	0.996923	0.40682767	0.19141262	-0.005927	-1.010558	-1.167602	-2	0.508657
15	3.5882312135e-1	0.971711	0.42223501	0.20329314	0.060739	-0.830021	-0.678699	-1	0.521477
16	3.4834222160e-1	0.965810	0.43110207	0.21054636	0.060739	-0.830021	-0.678699	-1	0.529788
17	3.3912062683e-1	0.960801	0.43906343	0.21724749	0.001916	-0.996680	-1.150881	-2	0.537250
18	3.2628660623e-1	0.943090	0.45003765	0.22636191	0.001916	-0.996680	-1.150881	-2	0.546325
19	3.1485033453e-1	0.927058	0.46002625	0.23490283	-0.050716	-1.151651	-1.607183	-3	0.554586
20	3.0109964188e-1	0.902014	0.47214678	0.24539321	-0.050716	-1.151651	-1.607183	-3	0.563949
21	2.8875994959e-1	0.879136	0.48329683	0.25535362	-0.003097	-1.006674	-1.165796	-2	0.572562
22	2.8031839262e-1	0.866476	0.49114050	0.26259939	0.042358	-0.866172	-0.731499	-1	0.579088
23	2.7511110882e-1	0.862609	0.49614628	0.26740367	-0.001121	-1.002498	-1.158947	-2	0.583855
24	2.6800314591e-1	0.851728	0.50290634	0.27381583	-0.001121	-1.002498	-1.158947	-2	0.589458
25	2.6146049661e-1	0.841609	0.50922244	0.27990538	-0.001121	-1.002498	-1.158947	-2	0.594693
26	2.5541529797e-1	0.832168	0.51514170	0.28569871	0.037341	-0.877186	-0.750671	-1	0.599599
27	2.5153622074e-1	0.829022	0.51906474	0.28966571	0.037341	-0.877186	-0.750671	-1	0.603328
28	2.4792240140e-1	0.826128	0.52276102	0.29344444	0.037341	-0.877186	-0.750671	-1	0.606843
29	2.4454596591e-1	0.823459	0.52625188	0.29704973	0.002858	-0.993300	-1.141660	-2	0.610161
30	2.3995280771e-1	0.816127	0.53088072	0.30171426	-0.030475	-1.106673	-1.527265	-3	0.613990
31	2.3436523926e-1	0.804807	0.53648072	0.30732667	-0.062733	-1.217447	-1.907660	-4	0.618258
32	2.2793665970e-1	0.789968	0.54294858	0.31383382	-0.062733	-1.217447	-1.907660	-4	0.622904
33	2.2191918968e-1	0.775942	0.54910531	0.32012980	-0.032430	-1.111492	-1.537189	-3	0.627327
34	2.1725632667e-1	0.766124	0.55396959	0.32519551	-0.003018	-1.007776	-1.171447	-2	0.631031
35	2.1378138213e-1	0.760067	0.55766143	0.32910424	0.025553	-0.906194	-0.810290	-1	0.634089
36	2.1133437299e-1	0.757321	0.56031578	0.33196593	0.025553	-0.906194	-0.810290	-1	0.636564
37	2.0900987486e-1	0.754718	0.56285766	0.33472520	-0.001474	-1.003787	-1.162688	-2	0.638934
38	2.0603219925e-1	0.749460	0.56608504	0.33820227	0.024842	-0.908061	-0.814476	-1	0.641602
39	2.0392606467e-1	0.747096	0.56842152	0.34076911	0.050483	-0.814123	-0.470331	0	0.643791
40	2.0259181381e-1	0.747337	0.56995705	0.34250592	0.050483	-0.814123	-0.470331	0	0.645543
41	2.0132098876e-1	0.747620	0.57143450	0.34418999	0.026093	-0.904698	-0.806687	-1	0.647228
42	1.9946272966e-1	0.745526	0.57351753	0.34649780	0.002283	-0.993690	-1.139310	-2	0.649166
43	1.9707389220e-1	0.741234	0.57614653	0.34936695	-0.020973	-1.081160	-1.468302	-3	0.651333
44	1.9421660525e-1	0.734952	0.57926860	0.35275380	-0.020973	-1.081160	-1.468302	-3	0.653706
45	1.9148074560e-1	0.728903	0.58228405	0.35604885	-0.020973	-1.081160	-1.468302	-3	0.655998
46	1.8885836807e-1	0.723071	0.58519899	0.35925634	0.000766	-0.997929	-1.149639	-2	0.658213
47	1.8682689324e-1	0.719311	0.58750035	0.36182760	-0.020510	-1.079847	-1.465035	-3	0.660114
48	1.8441443003e-1	0.713905	0.59022204	0.36485851	-0.020510	-1.079847	-1.465035	-3	0.662185
49	1.8209523092e-1	0.708682	0.59285906	0.36781335	-0.020510	-1.079847	-1.465035	-3	0.664193
50	1.7986372107e-1	0.703631	0.59541585	0.37069541	-0.020510	-1.079847	-1.465035	-3	0.666139
51	1.7771476952e-1	0.698743	0.59789650	0.37350777	-0.000902	-1.002752	-1.161913	-2	0.668027
52	1.7601681893e-1	0.695485	0.59989229	0.37580139	-0.000902	-1.002752	-1.161913	-2	0.669667
53	1.7437710657e-1	0.692328	0.60183109	0.37803929	-0.019770	-1.077663	-1.459332	-3	0.671260
54	1.7244088890e-1	0.687864	0.60410638	0.38065364	-0.019770	-1.077663	-1.459332	-3	0.672986
55	1.7057080112e-1	0.683534	0.60631926	0.38320933	-0.001588	-1.004803	-1.167355	-2	0.674665
56	1.6907370060e-1	0.680581	0.60811770	0.38530910	-0.001588	-1.004803	-1.167355	-2	0.676135
57	1.6762407590e-1	0.677713	0.60986870	0.38736147	0.015955	-0.933872	-0.880579	-1	0.677567
58	1.6651386128e-1	0.676120	0.61124612	0.38900610	0.033197	-0.863864	-0.596317	0	0.678811
59	1.6573137210e-1	0.675776	0.61226174	0.39025485	0.016248	-0.932975	-0.878119	-1	0.679879
60	1.6468993814e-1	0.674297	0.61356958	0.39182911	0.016248	-0.932975	-0.878119	-1	0.681060
61	1.6367920676e-1	0.672865	0.61484538	0.39336997	-0.000146	-1.000366	-1.155156	-2	0.682212
62	1.6243044102e-1	0.670372	0.61639159	0.39521362	0.015983	-0.933800	-0.880426	-1	0.683465
63	1.6147211690e-1	0.669001	0.61761510	0.39670232	0.015983	-0.933800	-0.880426	-1	0.684564
64	1.6054067272e-1	0.667670	0.61881015	0.39816097	0.015983	-0.933800	-0.880426	-1	0.685637
65	1.5963491415e-1	0.666378	0.61997786	0.39959064	0.031368	-0.869578	-0.612342	0	0.686686
66	1.5897700509e-1	0.666059	0.62086247	0.40070194	0.016216	-0.933058	-0.878299	-1	0.687599
67	1.5812312430e-1	0.664859	0.62197216	0.40206744	0.001291	-0.995815	-1.142172	-2	0.688601
68	1.5707410179e-1	0.662775	0.62330488	0.40368387	0.001291	-0.995815	-1.142172	-2	0.689685
69	1.5605240400e-1	0.660742	0.62460903	0.40527046	0.015784	-0.934451	-0.882350	-1	0.690746
70	1.5525867665e-1	0.659616	0.62565341	0.40656549	0.001498	-0.995144	-1.140203	-2	0.691686
71	1.5429084898e-1	0.657692	0.62689813	0.40808712	-0.012586	-1.055181	-1.396125	-3	0.692702
72	1.5316125486e-1	0.655020	0.62832977	0.40982079	-0.012586	-1.055181	-1.396125	-3	0.693790
73	1.5206004083e-1	0.652407	0.62973251	0.41152507	-0.026285	-1.113955	-1.648290	-4	0.694855
74	1.5081627980e-1	0.649123	0.63130817	0.41343262	-0.012772	-1.055792	-1.397953	-3	0.695986
75	1.4976681447e-1	0.646616	0.63266056	0.41508793	-0.012772	-1.055792	-1.397953	-3	0.697010
76	1.4874266426e-1	0.644165	0.63398681	0.41671629	-0.012772	-1.055792	-1.397953	-3	0.698015
77	1.4774287260e-1	0.641766	0.63528780	0.41831847	0.000215	-0.999379	-1.152905	-2	0.699001
78	1.4692123474e-1	0.640093	0.63637713	0.41967549	-0.012605	-1.055234	-1.396250	-3	0.699891
79	1.4596879438e-1	0.637803	0.63762625	0.42122130	-0.025263	-1.110543	-1.637922	-4	0.700840
80	1.4489435889e-1	0.634931	0.63902562	0.42294559	-0.025263	-1.110543	-1.637922	-4	0.701843
81	1.4384493515e-1	0.632119	0.64039973	0.42464440	-0.025263	-1.110543	-1.637922	-4	0.702829
82	1.4281962454e-1	0.629366	0.64174939	0.42631840	-0.013068	-1.056803	-1.401103	-3	0.703797
83	1.4194730176e-1	0.627243	0.64291296	0.42777323	-0.025116	-1.110042	-1.636358	-4	0.704681
84	1.4096843463e-1	0.624605	0.64421281	0.42939405	-0.025116	-1.110042	-1.636358	-4	0.705615
85	1.4001116806e-1	0.622021	0.64549038	0.43099193	-0.013352	-1.057775	-1.404156	-3	0.706533
86	1.3919478236e-1	0.620022	0.64659571	0.43238621	-0.001724	-1.005981	-1.173444	-2	0.707374
87	1.3851165054e-1	0.618580	0.64753721	0.43358607	0.009770	-0.954648	-0.944199	-1	0.708141
88	1.3795514543e-1	0.617672	0.64831775	0.43459064	0.009770	-0.954648	-0.944199	-1	0.708836
89	1.3740953982e-1	0.616781	0.64908556	0.43558066	-0.001466	-1.005083	-1.170579	-2	0.709519
90	1.3676777506e-1	0.615429	0.64997677	0.43672131	-0.001466	-1.005083	-1.170579	-2	0.710248
91	1.3613832778e-1	0.614101	0.65085379	0.43784590	0.009524	-0.955513	-0.946977	-1	0.710965
92	1.3561734858e-1	0.613233	0.65158531	0.43878797	0.009524	-0.955513	-0.946977	-1	0.711617
