d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	-1.016724555894541e0	1.016724555894541e0	188.7520	1.000000	1
2	-6.002859380922098e-1	6.002859380922098e-1	300.1934	1.500000	2 (prime)
3	-7.043967973353618e-2	7.043967973353618e-2	313.2703	1.333333	3 (prime)
4	7.618500271624531e-1	7.618500271624531e-1	454.7056	1.750000	2^2
5	-3.327809966257030e-2	3.327809966257030e-2	460.8836	1.200000	5 (prime)
6	9.653096605801168e-1	9.653096605801168e-1	640.0906	2.000000	2·3
7	-6.074124781956699e-3	6.074124781956699e-3	641.2182	1.142857	7 (prime)
8	2.643865904846624e-2	2.643865904846624e-2	646.1265	1.875000	2^3
9	-4.696956399007473e-2	4.696956399007473e-2	654.8463	1.444444	3^2
10	-1.941167308727913e-3	1.941167308727913e-3	655.2066	1.800000	2·5
11	7.304534984085562e-2	7.304534984085562e-2	668.7673	1.090909	11 (prime)
12	1.394948163425194e-1	1.394948163425194e-1	694.6641	2.333333	2^2·3
13	1.283096577220190e-2	1.283096577220190e-2	697.0462	1.076923	13 (prime)
14	4.101746059732530e-2	4.101746059732530e-2	704.6609	1.714286	2·7
15	-3.783454739115255e-2	3.783454739115255e-2	711.6848	1.600000	3·5
16	-2.878092040349941e-3	2.878092040349941e-3	712.2191	1.937500	2^4
17	-6.022142439212410e-4	6.022142439212410e-4	712.3309	1.058824	17 (prime)
18	3.847580522589920e-2	3.847580522589920e-2	719.4738	2.166667	2·3^2
19	-2.568442215996135e-3	2.568442215996135e-3	719.9507	1.052632	19 (prime)
20	1.593100775449578e-2	1.593100775449578e-2	722.9082	2.100000	2^2·5
21	-1.888383907468403e-2	1.888383907468403e-2	726.4139	1.523810	3·7
22	2.623166968423559e-3	2.623166968423559e-3	726.9009	1.636364	2·11
23	2.058181434519314e-2	2.058181434519314e-2	730.7219	1.043478	23 (prime)
24	3.872871733885150e-2	3.872871733885150e-2	737.9118	2.500000	2^3·3
25	-1.476205631169194e-3	1.476205631169194e-3	738.1858	1.240000	5^2
26	5.219442878967226e-4	5.219442878967226e-4	738.2827	1.615385	2·13
27	2.492028233208924e-3	2.492028233208924e-3	738.7453	1.481481	3^3
28	-8.404919592264807e-3	8.404919592264807e-3	740.3057	2.000000	2^2·7
29	5.807267135163298e-3	5.807267135163298e-3	741.3838	1.034483	29 (prime)
30	3.924873159270297e-2	3.924873159270297e-2	748.6702	2.400000	2·3·5
31	1.165065943355071e-2	1.165065943355071e-2	750.8331	1.032258	31 (prime)
32	4.856380707283493e-3	4.856380707283493e-3	751.7347	1.968750	2^5
